uid,psychopathy,machiavellianism,narcissism,openness,conscientiousness,extraversion,agreeableness,neuroticism,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
121,1.444444444,1.7,2.444444444,5.5,3,4.5,7,5.5,40.79,0,0,0,2,41,132,197,56,12.53696498,257,3222,83,0,3.300160537,2.668385917,4.121559844,13230,1,0,124,15.49,20.01,67.78,40.36,10.83,7.21,4.58,0.43,1.56,0.19,0.45,3.61,4.49,12.03,7.64,2.29,8.16,0.72,4.57,9.85,3.81,1.24,2.3,1.8,0.01,5.06,0.16,0.19,0.25,6.29,5.31,0.95,0.31,0.18,0.2,11.26,1.77,1.76,0.86,1.88,1,0.3,2.3,2.05,3.19,1.11,0.4,0.51,4.1,0.26,0.37,0.39,3.17,9.93,1.12,4.13,4.75,1.18,0.96,1.59,0.67,0.59,0.14,0.02,1.28,0.26,0.22,9.86,3.58,3.2,0.03,0.9,0.52,0.77,0.71,3.66,0.2,16.02,39.65
122,1.333333333,2.8,2.333333333,6,5,4.5,6,1.5,,,,,,,,,,,,,0,0,0.301029996,1,2.033423755,108,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2,3.1,2.222222222,6,5,3,4.5,5.5,52.82,0,0,5,21,65,114,133,76,23.0942029,138,3187,113,0,3.698361566,2.584331224,4.408799438,25633,125,0,382,22.89,21.29,63.23,37.24,9.19,5.41,2.78,0.47,1.61,0.16,0.4,3.77,4.59,11.01,6.6,1.81,7.45,0.88,3.73,9.04,3.33,1.62,2.35,2.5,0.2,6.76,0.05,0.09,0.37,6.18,4.26,1.89,0.28,0.71,0.28,12.97,2.07,1.25,1.55,2.48,1.21,1.07,2.3,2.23,1.96,0.86,0.57,0.49,1.04,0.35,0.27,0.22,0.25,10.25,1.24,4.4,4.65,2.04,1.38,1.19,0.18,0.66,0.1,0.09,0.71,0.17,0.27,11.4,1.86,3.6,2.16,0.9,2.79,1.12,0.84,2.5,1.73,14.96,47.51
124,2,2.5,2,5,5.5,4.5,4,2,49.62,0,0,0,0,7,65,239,25,5.342192691,602,3216,148,1,2.878521796,2.699837726,3.858897957,7226,334,0,62,19.81,17.95,73.06,46.56,12.9,8.48,4.36,0.46,2.87,0.14,0.65,4.42,5.41,14.18,8.65,2.27,9.73,1.14,4.52,10.44,4.09,1.71,2.51,1.65,0.06,7.4,0.03,0.09,0.46,6.24,4.95,1.26,0.25,0.28,0.16,12.89,1.65,1.34,1.96,2.67,1.19,0.48,2.55,2.48,1.75,0.89,0.46,0.33,1.01,0.33,0.2,0.23,0.26,11.92,1.6,4.81,5.53,1.62,1.37,1.7,0.28,1.26,0.14,0.07,0.74,0.18,0.17,5.25,1.76,4.8,0.45,1.29,2.6,3.84,0.45,2.67,0.46,11.53,37.63
125,1.555555556,2.6,1.333333333,5.5,4,1,4.5,1.5,23.26,0,0,0,0,0,3,7,11,1.65597148,561,929,92,0,2.460897843,2.049218023,2.968015714,929,58,0,25,9.84,21.75,74.19,45.72,10.7,7.07,4.74,0.21,1.41,0.25,0.46,3.63,6.1,11.68,7.84,2.27,7.28,1,4.01,12.22,3.66,1.82,2.14,1.65,0.23,5.85,0.14,0.09,1.02,4.97,2.89,2,0.33,0.75,0.41,12.36,1.76,1.14,1.15,1.7,1.41,0.47,3.1,2.14,2.95,1.27,0.57,0.83,2.73,1.12,0.75,0.32,0.71,13.09,1.68,6.26,5.23,1.68,1.24,1.45,0.63,0.5,0.43,0.26,0.61,0.08,0.35,9.38,2.13,1.61,0.26,1.29,2,1.23,0.27,2.92,0.16,7.19,28.77
126,1.888888889,3.2,2.666666667,3.5,5.5,4,6,3,17.67,0,0,0,0,0,2,20,10,2.400735294,272,653,136,0,1.954242509,2.184691431,2.816903839,656,0,0,2,20.83,20.36,65.15,39.1,8.13,4.28,1.76,0.52,1.19,0.17,0.65,3.85,6.45,9.49,5.8,1.7,6.41,0.67,3.08,10.41,2.96,1.17,2.15,2.73,0.17,6.29,0.04,0.06,0.9,4.18,3.08,1.08,0.12,0.36,0.3,10.7,1.65,1.23,0.88,1.86,1.13,0.44,2.31,1.77,2.14,0.84,0.78,0.3,1.86,0.48,0.59,0.24,0.62,12.23,1.7,5.56,5.03,3.15,1.56,1.3,0.25,0.54,0.39,0.28,0.34,0.26,0.16,12.86,2.91,4.48,0.06,0.75,1.8,0.95,1.12,1.83,0.13,17.4,44.51
127,3.333333333,3.4,3.111111111,4.5,5,5,3.5,4,49.6,2,3,15,36,61,77,78,105,41.02531646,79,3241,155,0,2.865103975,2.598790507,4.591387424,39029,341,0,64,13.91,19.94,67.56,42.93,11.57,6.92,3.54,0.3,2.07,0.47,0.54,4.64,5.14,12.37,8.03,2.47,7.96,0.95,4.5,9.97,3.64,1.57,2.44,2.25,0.64,6.36,0.14,0.09,0.5,5.23,3.33,1.88,0.19,0.95,0.26,12.01,1.47,1.29,1.52,2.54,1.31,0.43,2.12,2.4,1.87,0.89,0.47,0.42,2.01,0.68,0.33,0.65,0.54,11.13,1.4,4.94,4.88,1.25,1.31,1.74,0.23,0.83,0.2,0.17,0.86,0.2,0.26,9.47,4.08,2.54,0.65,1.4,1.12,0.64,1.7,3.57,0.65,16.41,42.86
128,1.555555556,3.3,2.555555556,6.5,4.5,2,5,4.5,14.21,0,0,0,0,9,71,185,28,4.486111111,720,3230,29,0,1.880813592,1.982271233,3.611723308,4090,0,0,4,7.94,16.44,76.18,46.84,15.51,10.7,7.04,0.33,2.13,0.82,0.39,4.81,4.51,14.45,9.07,2.68,9.83,0.92,5.22,9.14,4.17,1.94,1.87,1.41,0.65,7.77,0.49,0.16,0.7,8.17,5.24,2.76,0.3,1.12,0.54,12.25,1.82,1.18,1.76,2.25,1.23,0.48,2.1,2.55,2.61,0.99,0.61,0.71,2.92,0.9,0.71,0.74,0.66,10.81,1.33,4.3,5.36,1.21,1.15,1.6,0.48,0.53,0.63,0.13,1.82,0.37,0.3,13.03,2.84,1.54,0.73,1.2,2.64,0.69,0.68,2.81,0.35,10.5,37.4
129,1.444444444,2.1,3,6.5,4,3.5,6.5,2.5,22.1,0,0,0,0,2,44,159,35,3.451388889,864,2982,142,1,2.488550717,2.609594409,3.473194909,2973,1904,0,7,11.45,18.12,71.22,44.06,11.89,6.91,2.82,1.12,2.25,0.26,0.47,4.98,4.87,13.95,8.61,2.49,9.03,1.33,5.11,9.23,4.34,1.76,2.63,1.51,0.3,7.28,0.11,0.13,0.51,6.68,4.92,1.74,0.31,0.62,0.29,13.42,1.63,1.11,1.74,2.87,1.34,0.43,2.87,2.9,2.4,1.25,0.6,0.49,1.51,0.58,0.52,0.29,0.18,11,1.35,4.5,5.28,1.12,1.36,2.16,0.24,0.95,0.28,0.12,1.15,0.17,0.23,12.97,3.95,3.51,0.35,1.38,3.54,1.05,0.27,4.66,1.09,12.17,46.77
130,1.666666667,2.9,2.777777778,5.5,5,3.5,4.5,2,11.04,0,0,0,0,1,6,9,23,2.170588235,170,369,126,1,1.079181246,1.86332286,2.565847819,368,7,0,0,13.86,18.14,76.95,47.17,14.61,10.35,7.41,0.13,1.83,0.61,0.38,4.26,5.37,14.57,9.24,2.61,9.93,1.09,4.49,9.64,5.04,1.42,1.92,1.67,0.8,6.75,0.29,0.13,0.78,6.46,3.67,2.79,0.36,1.35,0.36,14.3,2.12,1.68,1.93,2.22,1.26,0.65,3.18,2.38,3.04,1.37,0.64,0.42,3.21,1,0.46,1.15,0.68,11.02,2.06,4.28,4.76,1.37,1.42,2.13,0.86,0.42,0.29,0.29,0.51,0.04,0.22,8.23,2.32,1.68,0.07,1.35,1.9,0.7,0.91,3.51,0.22,8,29.16
131,1.777777778,3.1,2.666666667,6,6,5.5,6.5,1,34.77,0,0,0,0,4,22,89,28,3.135766423,685,2148,124,0,2.731588765,2.748962861,3.332236415,2149,12,0,23,15.52,20.91,64.83,39.01,8.58,5.2,2.44,0.51,1.31,0.45,0.48,3.38,5.82,10.49,6.63,2.26,6.69,0.81,3.6,11.09,2.74,1.23,2.08,2.2,0.25,6.34,0.18,0.36,0.47,5.83,4.31,1.5,0.21,0.59,0.31,9.81,1.33,1,0.97,1.77,1.17,0.41,2.17,1.55,1.95,0.9,0.49,0.4,1.83,0.55,0.26,0.34,0.84,12.79,1.64,5.98,5.18,1.82,1.56,2.01,0.28,0.95,0.27,0.16,0.57,0.15,0.15,8.91,2.35,4.42,0.19,1.06,2.16,1.57,0.81,3.15,0.57,12.32,38.29
132,1.555555556,2.6,2.111111111,3.5,6,6,6,5.5,,,,,,,,,,,,,62,0,1.579783597,2.46834733,2.367355921,233,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,2.111111111,3.8,3.222222222,7,6.5,6.5,5.5,3,44.78,4,7,13,29,52,76,103,164,24.72519084,131,3239,148,0,3.203304916,3.116607744,4.63211296,42866,5542,0,93,13.36,20.53,65.41,38.96,12.75,9.87,5.07,0.44,2.6,1.39,0.38,2.87,4.59,11.09,6.41,2.45,7.35,0.73,2.66,10,2.73,1.3,1.49,1.98,0.08,9.35,0.64,0.22,0.6,6.36,5.11,1.23,0.19,0.33,0.38,8.96,1.66,0.91,1.11,1.4,1.13,0.38,1.7,1.4,2.8,1.34,0.82,0.42,2.05,0.61,0.47,0.75,0.3,10.51,1.31,4.9,4.25,1.67,1.3,1.97,0.3,0.72,1.11,0.26,0.41,0.1,0.09,9.42,1.26,4.65,0.23,0.73,6.98,0.91,0.93,2.55,0.78,15.91,45.24
134,1.888888889,3.1,3,4.5,3.5,3,4.5,3.5,11.79,0,0,0,0,0,2,12,8,1.813793103,435,789,51,0,1.176091259,1.342422681,2.898725182,792,6,0,0,9.28,16.19,76.01,44.88,11.54,7.24,4.44,0.64,1.32,0.43,0.41,4.31,5.54,13.28,8.08,2.19,8.98,1.1,5.05,9.58,4.89,1.82,2.34,2.06,0.26,6.03,0.3,0.16,0.41,8.15,5.88,2.19,0.26,0.76,0.48,13.64,1.75,1.48,1.59,2.2,1.27,0.51,3.13,2.81,2.35,1.07,0.61,0.44,2.28,0.77,0.62,0.36,0.58,12.27,1.88,4.53,5.96,1.63,1.86,1.94,0.57,0.79,0.39,0.18,1.65,0.32,0.3,9.4,1.89,1.23,0.53,2.04,7.06,0.63,0.69,2.71,0.66,5.95,33.56
135,2.444444444,3.1,3.555555556,6.5,5,5.5,3,4,45.52,1,1,1,2,7,52,143,109,4.88247012,502,2451,89,0,1.949390007,2.012837225,3.388811413,2448,3,0,5,9.91,18.2,70.8,42.15,10.99,6.92,4.39,0.35,1.44,0.38,0.37,4.07,5.19,11.33,7.07,1.78,7.91,0.8,3.92,10.19,3.96,1.5,2.07,2.53,1.17,6.32,0.17,0.11,0.76,6.3,3.26,2.99,0.26,1.68,0.45,11.84,1.51,1.16,1.42,1.83,1.25,0.43,2.9,2.18,2.3,0.86,0.44,0.6,3.61,1.18,0.56,1.11,1.02,12.77,1.53,5.6,5.81,1.43,1.52,1.98,0.37,0.62,0.61,0.33,0.68,0.17,0.33,14.88,1.58,2.95,0.08,0.88,1,0.72,0.79,1.55,0.44,11.3,36.62
136,1.777777778,2.5,3.333333333,6.5,3,6,6,1.5,49.36,0,4,22,41,59,63,63,98,48.74242424,66,3217,130,0,3.537944959,3.117602692,4.93892981,86882,457,0,342,11.48,20.27,69.72,43.11,13.07,8.34,2.98,0.68,2.99,0.97,0.72,4.73,4.87,13.15,8.35,2.1,9.05,0.93,4.11,9.25,3.51,1.73,1.97,1.79,0.03,9.43,0.26,0.19,0.71,5.84,4.44,1.37,0.21,0.42,0.32,12.46,1.72,1.34,1.7,2.39,1.25,0.53,2.29,2.36,2.05,0.75,0.55,0.43,2.07,0.63,0.43,0.34,0.7,10.73,1.44,4.74,4.68,1.52,1.41,1.6,0.39,0.9,0.21,0.16,0.7,0.23,0.27,10.81,4.2,4.46,0.45,1.41,2.31,1.39,0.82,3.53,0.46,15.28,47.06
137,1.777777778,2.8,1.444444444,5,4,4.5,7,2,,,,,,,,,,,,,0,1,2.354108439,2.392696953,3.734959761,5432,252,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1.777777778,2.2,3.555555556,7,6.5,4,4.5,1,52.27,0,0,3,15,68,114,128,67,22.04081633,147,3240,135,1,3.254789687,3.301247089,4.082174775,12083,433,0,108,20.06,24.26,63.81,35.87,7.9,4.57,2.05,0.76,0.86,0.41,0.5,3.33,3.95,9.87,6.3,1.29,7.03,0.79,3.41,9.8,3.28,1.3,2.28,2.29,0.06,6.79,0.2,0.12,0.93,6.07,4.06,1.95,0.31,0.68,0.4,13.01,2.49,2.06,1.21,1.97,1.37,0.65,2.15,1.9,1.49,0.56,0.53,0.32,1.42,0.36,0.47,0.29,0.34,10.81,1.68,4.8,4.26,3.12,2.5,1.19,0.22,1.1,0.47,0.21,0.26,0.14,0.18,9.94,2.25,5.73,0.16,0.46,0.95,1.05,1.09,1.98,0.31,14.26,38.49
139,2.111111111,2,3.222222222,7,6,7,3,5,19.47,0,0,0,0,3,21,69,33,2.877835951,573,1649,46,1,1.826074803,2.117271296,3.217747073,1651,2,0,6,14.86,21.81,41.94,23.41,4.03,2.14,1.03,0.53,0.38,0.1,0.11,1.89,3.96,6.76,4.58,1.18,4.89,0.35,1.97,7.18,1.46,0.68,0.87,1.88,0.13,4.04,0.09,0.1,0.32,2.71,1.79,0.89,0.1,0.35,0.17,8.3,1.05,0.86,0.56,1.19,0.6,0.32,2.55,1.21,0.84,0.29,0.24,0.25,0.78,0.28,0.23,0.15,0.16,9.28,0.66,4.64,3.95,2.41,1.5,0.97,0.22,0.56,0.16,0.37,0.29,0.25,0.11,12.42,2.82,7.56,0.29,1.55,2.05,1.54,1.44,1.39,0.62,19.22,51.7
140,2.777777778,2.5,2.333333333,4.5,4,2,3.5,2.5,42.93,0,0,0,0,1,6,57,26,2.932394366,355,1041,35,1,2.103803721,2.387389826,3.020775488,1049,0,0,4,14.87,17.38,53.14,32.87,9.07,6.49,5.22,0.15,0.85,0.15,0.12,2.58,3.62,9.95,7.36,1.18,7.69,0.43,3.07,10.34,2.25,0.91,1.12,4.44,0.12,3.86,0.14,0.09,0.7,3.55,2.72,0.81,0.09,0.31,0.19,6.43,0.95,0.81,0.72,0.9,0.51,0.24,1.38,1.29,1.9,1.27,0.28,0.26,1.69,0.14,0.23,0.21,1.14,12.94,1.05,7.78,4.01,1.43,1.14,1.38,0.44,0.54,0.1,0.05,0.5,0.33,0.08,10.44,4.02,5.18,0.09,0.65,4.39,0.58,0.18,4.61,3.18,16.3,53.79
141,2.444444444,2.5,3.333333333,4.5,4,4,4,3.5,47.27,0,0,0,0,6,80,233,35,5.875229358,545,3202,28,0,2.547774705,2.71432976,3.633367445,4299,39,0,17,14.51,20.65,69.83,42.79,10.86,6.73,3.43,0.54,1.56,0.57,0.62,4.13,5.72,12.63,8.08,2.66,8.14,0.82,4.19,10.07,3.84,1.69,2.06,1.81,0.37,7.12,0.23,0.11,0.74,5.47,3.27,2.19,0.27,0.86,0.38,12.7,2.12,1.42,1.45,2.36,1.2,0.51,2.36,2.55,2.04,0.93,0.5,0.43,2.05,0.85,0.36,0.38,0.63,11.39,1.46,4.99,5.05,2,1.55,1.81,0.46,0.8,0.24,0.22,0.44,0.15,0.3,9.25,2.54,3.84,0.07,1.7,0.79,1.45,1.5,3.16,0.2,12.1,36.82
142,2.222222222,3.3,3.111111111,6.5,5,3,3,1.5,17.83,0,0,0,0,0,5,35,13,2.402597403,462,1110,39,0,2.350248018,2.025305865,3.044147621,1107,0,0,11,23.44,20.13,69.83,41.07,6.37,3.81,2.4,0.22,0.32,0.67,0.21,2.56,6.7,12.2,8.63,2.26,8.53,0.65,3.44,12.19,2.79,1,1.97,2.57,0.05,4.93,0.5,0.21,0.67,4.29,3.1,1.15,0.13,0.38,0.3,10.46,1.92,1.2,0.79,1.69,0.67,0.47,2.75,1.59,2.21,0.93,0.46,0.66,1.97,0.51,0.42,0.12,0.93,14.85,1.88,6.51,6.46,2.75,2.09,2.46,0.96,0.72,0.12,0.03,0.55,0.12,0.23,7.18,1.62,4.19,0.5,0.47,1.94,1.11,0.41,1.67,0.5,8.73,29.25
143,1.666666667,3.1,3.111111111,6.5,4,4.5,6,4.5,42.98,,,,,,,,,,,,123,1,2.212187604,2.870988814,3.193402903,1561,37,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,3.111111111,3.1,4,6.5,3.5,4.5,4.5,4.5,57.32,0,0,0,3,34,128,208,58,11.40989399,283,3229,136,0,2.59439255,1.73239376,4.053539396,11312,36,0,19,17.01,18.15,59.68,35.65,9.71,6.45,3.32,0.48,1.65,0.54,0.47,3.26,4.48,9.84,5.82,1.38,6.94,0.78,3.6,7.46,3.56,1.19,1.78,1.44,0.31,6.9,0.28,0.2,0.71,6.6,4.99,1.58,0.17,0.72,0.31,10.07,1.13,0.9,1.17,1.43,1.07,0.32,2.75,1.83,2.3,1.15,0.41,0.48,2.49,0.83,0.36,0.95,0.42,8.96,1.03,3.51,4.13,0.91,1.16,1.47,0.38,0.61,0.41,0.13,0.99,0.16,0.19,14.76,1.23,7.75,0.11,1.49,4.39,0.53,0.56,1.15,0.45,21.26,55.08
145,2.333333333,3.6,2,5,6.5,2,2,1.5,48.6,0,0,0,1,9,79,238,44,6.091081594,527,3210,45,0,2.089905111,2.103803721,4.035909798,10862,251,0,8,10.04,18.49,76.97,48.82,13.66,8.6,4.95,0.53,1.93,0.61,0.58,5.06,5.59,14.3,9.28,2.46,9.75,0.98,4.99,11.03,4.61,2.08,2.24,1.7,0.53,6.79,0.23,0.1,0.64,5.71,3.43,2.24,0.26,0.99,0.31,14.3,1.98,1.28,1.73,2.99,1.24,0.5,3.13,2.83,2.55,1.01,0.55,0.71,2.59,1,0.59,0.34,0.81,12.56,1.64,5.65,5.41,1.79,1.34,1.56,0.88,0.77,0.25,0.18,0.72,0.25,0.38,8.96,3.43,1.98,0.23,1.5,1.31,0.89,1.03,3.8,0.42,8.32,32.55
146,1,2,2.888888889,6.5,6,6.5,4.5,5,36.98,0,0,0,0,20,127,240,35,9.5,342,3249,48,0,2.583198774,2.328379603,4.079325987,12004,130,0,36,10.2,17.57,78.6,50.5,15.64,10.62,6.88,0.87,1.32,0.89,0.67,5.02,4.82,14.94,9.08,3.21,9.91,0.84,5.52,10.33,5.44,1.91,2.62,1.46,0.14,7.6,0.68,0.2,0.69,7.03,5.19,1.83,0.31,0.57,0.33,14.51,1.77,1.49,1.47,2.66,1.25,0.41,3.56,3.05,3.12,1.58,0.43,0.76,2.57,0.8,0.46,0.58,0.76,12.09,1.43,5.3,5.6,1,1.11,1.23,0.86,0.63,0.18,0.14,0.92,0.13,0.36,7.68,3.3,0.85,0.31,0.47,3.41,0.45,0.32,3.81,0.23,9.02,30.33
147,2.666666667,2.6,3.333333333,6.5,4,7,3,1.5,45.16,0,0,0,1,62,149,169,44,18.52298851,174,3223,94,1,2.888740961,2.767155866,4.318835192,20837,94,0,65,9.39,16.85,77.11,48.06,14.28,9.29,6.23,0.48,1.79,0.41,0.36,4.99,5.51,14.18,9.08,2.44,9.75,1,5.05,9.89,4.08,2.23,2.44,1.79,0.56,6.6,0.19,0.19,0.59,6.75,4.31,2.42,0.33,1.04,0.42,12.9,1.75,1.09,1.24,2.22,1.58,0.45,2.9,2.48,2.29,1,0.53,0.61,3.24,1.09,0.61,0.64,1.02,13.59,1.76,5.34,6.71,1.42,1.48,1.83,0.65,0.6,0.27,0.12,1.09,0.27,0.35,10.31,3.16,2.52,0.11,1.32,1.89,0.5,1.23,4.26,1.03,8.95,36.46
148,1.777777778,3.9,2.444444444,5.5,4.5,4,5.5,2.5,14.39,0,0,0,0,0,2,0,5,1.350515464,194,262,89,0,1.602059991,1.770852012,2.408239965,256,0,0,0,25.13,18.15,68.73,39.45,6.75,3.82,2.67,0.22,0.53,0.09,0.31,2.92,5.78,8.42,5.13,1.68,5.35,0.62,4.57,11.72,3.79,1.12,2.33,2.11,0.44,4.29,0.16,0.28,0.87,5.6,3.08,2.52,0.4,1.18,0.31,10.44,0.99,0.84,0.71,2.02,0.87,0.81,3.33,1.77,2.86,0.84,0.93,0.84,3.7,0.75,0.87,0.28,1.96,15.39,2.05,6.87,6.53,1.24,1.43,3.08,1.09,0.78,0.28,0.19,0.34,0.12,0.28,9.51,3.51,1.93,0.12,1.21,2.92,0.56,0.19,1.27,0.16,7.43,29.03
149,3,3.6,2.777777778,4.5,4,2.5,5,4.5,,,,,,,,,,,,,126,0,1.62324929,1.84509804,4.262118715,18286,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1.222222222,2,2.444444444,5,3.5,5,6.5,4.5,27.92,0,1,1,4,39,111,186,88,9.473684211,342,3240,120,0,2.930949031,3.127428778,3.544068044,3500,282,0,82,18.15,21.64,66.78,39.77,10.25,6.15,3.34,0.54,1.64,0.28,0.35,4.1,4.57,11.53,7.07,1.96,7.77,0.87,4.15,10.85,3.37,1.19,2.15,1.72,0.11,6.22,0.21,0.11,0.59,5.69,4.35,1.32,0.23,0.46,0.25,11.53,1.98,1.39,1.14,1.88,1.02,0.49,2.45,1.88,1.79,0.9,0.36,0.39,1.36,0.46,0.37,0.18,0.38,11.21,1.48,5.18,4.58,3.64,1.44,1.63,0.28,0.73,0.22,0.1,0.45,0.26,0.19,7.63,3.27,4.74,0.18,1.17,1.99,1.24,0.58,3.42,0.37,13.76,38.89
151,2,2.7,2.666666667,4.5,5,5,3,3,32.48,0,0,0,2,34,137,198,47,12.18939394,264,3218,121,1,2.238046103,2.281033367,3.846646329,7025,173,0,3,12.36,18.84,77.04,49.2,13.1,8.36,4.1,0.52,2.24,0.63,0.87,4.74,4.88,14.9,9.78,2.51,9.84,1.25,4.99,10.85,5.04,2.6,2.26,1.62,0.43,7.73,0.15,0.1,0.69,6.1,3.5,2.57,0.32,0.93,0.56,15.38,2.17,1.72,2.05,2.76,1.22,0.7,3.07,3.32,1.96,0.86,0.46,0.51,2.07,0.67,0.42,0.74,0.47,12.36,1.57,5.37,5.43,1.91,1.58,1.24,0.27,0.89,0.26,0.15,0.52,0.17,0.22,7.88,1.38,1.36,0.39,1.7,0.16,0.51,0.32,3.16,0.29,9.59,27.62
152,1.111111111,2,1.888888889,3.5,3,1.5,4,5,43.4,0,0,0,0,0,36,245,17,4.78358209,670,3205,25,0,2.301029996,2.257678575,3.66754634,4651,2,0,9,21.13,16.25,56.62,32.86,9.13,4.49,2.22,0.27,1.32,0.31,0.36,4.65,4.5,8.24,5.51,1.41,5.26,0.8,2.65,6.98,3.59,1.08,1.74,5.71,0.13,5.02,0.07,0.07,0.43,4.21,2.79,1.38,0.21,0.48,0.24,10.14,1.27,0.87,0.99,1.93,0.85,0.32,2.93,1.69,2.83,0.61,0.62,1.55,2.55,0.31,0.61,0.19,1.48,9.47,1.08,3.39,5.07,2.84,1.25,1.53,0.17,0.76,0.46,0.15,0.4,0.09,0.17,9.78,2.39,6.08,0.42,1.16,1.13,1.34,0.84,2.12,0.88,22.68,49.94
153,2.888888889,4,4,4.5,5,2.5,2,3,46.44,0,0,0,0,0,4,7,12,1.756457565,271,476,0,1,2.492760389,2.556302501,2.67669361,475,6,0,7,16.28,21.38,48.18,29.09,8.37,5.42,2.86,0.4,1.58,0.32,0.25,2.96,3.55,8.24,5.04,1.3,5.42,0.8,2.75,7.4,1.98,0.72,0.86,2.25,0.06,5.26,0.27,0.02,0.55,4.08,2.88,1.2,0.11,0.5,0.21,7.67,1.03,1.09,1.07,1.24,0.46,0.21,1.64,1.11,1.43,0.78,0.32,0.34,0.82,0.32,0.17,0.11,0.25,8.16,1.09,3.68,3.41,1.34,1.16,1.51,0.21,0.55,0.32,0.21,0.57,0.21,0.13,8.56,1.64,5.4,0.04,1.14,1.7,2,0.55,1.41,0.29,19.78,43.18
154,2.111111111,3.5,3.111111111,4.5,5.5,5,6.5,2.5,40.96,0,0,0,0,9,68,196,30,4.537335286,683,3099,150,1,2.387389826,2.021189299,3.491501766,3101,12,0,13,19.25,19.54,64.95,40.12,10.51,6.68,3.85,0.53,1.77,0.24,0.3,3.83,4.33,11.37,7.02,1.41,8.07,1.08,3.93,8.73,4.11,1.64,2.4,2.32,0.39,6.12,0.12,0.12,0.45,5.93,4.05,1.86,0.18,0.7,0.44,12.58,1.82,1.4,1.6,2.84,0.97,0.56,2.38,2.49,1.54,0.77,0.37,0.34,0.96,0.31,0.21,0.26,0.22,9.5,1.08,3.67,4.7,2.31,1.7,1.64,0.35,0.93,0.28,0.14,0.44,0.14,0.25,8.3,6.9,2.91,1,2.08,3.94,1.92,2.57,1.44,1.15,14.63,48.2
155,1.777777778,2.3,3.555555556,6.5,2.5,5.5,4,2,24.28,0,0,0,2,6,12,37,46,2.650423729,472,1251,112,0,1.851258349,2.33243846,3.095866453,1247,5,0,3,15.55,22.99,67.66,38.76,7.58,4.65,2.64,0.54,0.78,0.4,0.29,2.93,6.28,8.96,5.58,1.61,5.91,0.83,3.22,12.03,3.19,0.98,2.04,2.12,0.1,5.59,0.25,0.15,0.68,5.32,3.55,1.74,0.26,0.57,0.3,10.85,1.59,1.21,1.07,2.03,1.02,0.55,2.66,1.63,1.98,1.07,0.47,0.32,2.45,0.43,1.23,0.4,0.6,13.28,1.58,6.39,5.4,2.76,1.87,2.06,0.44,1.34,0.26,0.18,0.48,0.25,0.25,10.46,2.34,4.27,0.1,1.02,0.81,1.95,1.69,1.67,0.28,10.83,35.82
156,2,3.5,3.111111111,5.5,6,4,4,1.5,35.09,0,0,0,0,1,24,165,21,3.747086247,858,3215,0,0,2.418301291,2.079181246,3.627877695,4245,11,0,5,12.22,15.83,75.94,47.42,13.19,7.66,3.96,0.57,1.99,0.45,0.69,5.53,5.73,14.44,8.96,4.13,8.6,0.88,5.42,10.15,4.48,1.54,2.15,2.88,0.12,6.45,0.25,0.1,0.4,6.5,5.29,1.21,0.17,0.46,0.16,12.14,1.49,1.25,1.37,2.01,0.73,0.45,2.97,2.67,2.83,1.63,0.54,0.58,1.59,0.57,0.24,0.17,0.65,13.2,1.84,5.48,6.21,1.19,1.41,2.39,0.48,0.82,0.5,0.09,1.47,0.2,0.27,5.68,3.52,2.05,0.03,1.46,4.68,0.32,0.43,3.02,0.21,9.78,31.36
